body,label,source,title
"‘তোমরা কাঁই! কি দেখপের আচ্চেন! হামরাগুলা মরি যাই, আর তোমরাগুলা তামশা দেকপের আচ্চেন।’ মহিলা দিশেহারা চোখে রাগ-ক্ষোভ জমিয়ে তা বর্ষণ করে চলেন। নিরুপায় হয়ে দাঁড়িয়ে থাকা ছাড়া কিছুই করার থাকে না। কুড়িগ্রাম শহরের প্রাণকেন্দ্র ঘেঁষে থাকেন এই পরিবারগুলো। শহরকে ঘিরে যে ধরলা নদী প্রবাহমান। সেই নদীর উপর নির্মিত ধরলা ব্রীজ পেরিয়ে ইউটার্ণ আর স্পারের পাশেই রাস্তার ডানদিকে ছোট্ট দুটি গ্রাম মাঝের চর ও পিন্টুল খামার। এখানে ৫৫টি পরিবার বসবাস করে। বন্যার প্রথম ধাপ থেকে এখন পর্যন্ত টানা একুশ দিন পর বাড়িতে ফিরতে পেরেছেন তারা। এর আগে মহাসড়কে কেটেছে দিনগুলো। ,গ্রামের বর্ষিয়ান আব্দুর রহিম (৬২) জানান, ‘বাহে দুইটা বন্যা গেইল এ্যালাও এক ছটাক চাউলও পাইলং না।’ তার সাথে সাথে ক্ষুব্ধ ও হতাশ স্বরে বললেন নারী শ্রমিক আমরণ (৪৫) ও তার ছোট বোন আদরভান (৪৩), হামরা মরি যাই তোমরা তামশা দেকপের আইসেন। এটে ৫৫টা বাড়ির লোকের কাঁইয়ো রিলিপ পায় নাই। গ্রামের সগার ঘরে কী খাবার আছে। চেয়ারম্যান-মেম্বার কাঁইয়ো আইসে না।’,ওই গ্রামের ছামসুলের স্ত্রী ছামিয়া (৩৮) জানান, ‘হামার স্বামী কামলা দিয়া খায়। এলা কাম নাই। হামারগুলার কষ্ট কাঁইয়ো দেকপেরও আইসে না।’,সরকারিভাবে পর্যাপ্ত ত্রাণের কথা বলা হলেও মাঠের চিত্র কিন্তু ভিন্ন। এখনো অনেক গ্রামে অনেক অস্বচ্ছল বাড়িতে ত্রান পৌঁছেনি। বানভাসী অনেক পরিবারে নিরব খাদ্যাভাব বিরাজ করছে। এছাড়াও ভাঙনে গ্রহহীনরা দিশেহারা হয়ে আছেন। তাদের পাশে কেউ দাঁড়াচ্ছে না। পানি প্লাবিতদের কাছে কেউ খোঁজ নিচ্ছে না জরুরী তাদের কী দরকার। এমন চরম একটা ভোগান্তির মধ্যে সময় কাটছে বন্যার্তদের।,এ ব্যাপারে সদর উপজেলার ভারপ্রাপ্ত ইউএনও ময়নুল ইসলাম জানালেন, মহাসড়কে যারা অবস্থান নিয়েছে সেইসব এলাকায় গতকাল ৩ শতাধিক প্যাকেট ত্রান বিতরণ করা হয়েছে। বানভাসীদের মধ্যে কেউ পেয়ে না থাকলে আমাদেরকে জানান। অবশ্যই আমরা তাদের পাশে দাঁড়াবো।",সারা বাংলার খবর,https://www.dailyinqilab.com/article/309836/,‘বাহে দুইটা বন্যা গেইল এ্যালাও এক ছটাক চাউলও পাইলং না।’
"গত ২৪ ঘন্টায় শেরপুর জেলার সার্বিক বন্যা পরিস্থিতি কিছুটা উন্নতি হয়েছে। কিন্তু পানিবন্দি হাজার হাজার মানুষের দুর্ভোগ আরো বেড়েছে। টানা বর্ষনের কারণে দুর্ভোগ আরো বেড়েছে। গত ২৪ঘন্টায় শেরপুর জেলায় গড় ৮৬.৪ মি.মি. বৃষ্টিপাত রেকর্ড করা হয়েছে। এর মধ্যে সবচেয়ে বেশী বৃষ্টি হয়েছে ঝিনাইগাতী উপজেলায় ১শ ৩২ মি.মি.। যা এ মওসুমে সর্বোচ্চ বৃষ্টিপাত। ,জেলায় পানি কমতে শুরু করলেও এখনও চালু হয়নি উত্তারাঞ্চলের সাথে শেরপুরের সড়ক যোগাযোগ ব্যবস্থা। গত এক সপ্তাহ যাবৎ বন্ধ রয়েছে এ সড়কে যানচলাচল। ,এখনও পানি বন্দি অধিকাংশ এলাকায় ত্রাণ পৌছেনি। বিভিন্ন সড়কের উপরে পানি থাকায় জনসাধারণকে চলাচলে অবর্ণনীয় দূর্ভোগে পোহাদে হচ্ছে। বন্যায় জেলায় এ পর্যন্ত দুই জনের মৃত্যু হয়েছে। ,গো খাদ্যের অভাব দেখা দিয়েছে বন্যা দুর্গত এলাকায়। এ পর্যন্ত বন্যার্তদের জন্য ৮৫ মেট্রিক টন খয়রাতি চাল ও ১ লাখ ৩০ হাজার টাকা বরাদ্ধ প্রদান করা হলেও তা প্রয়োজনের তুলনায় অপ্রতুল।,তাই জেলা প্রশাসনের পক্ষ থেকে ত্রানের জন্য ৭শ মেট্রিকটন চাল ও ১০ লক্ষ টাকা চেয়ে ত্রান ও দুর্যোগ মন্ত্রনালয়ে চাহিদা পাঠানো হয়েছে।",সারা বাংলার খবর,https://www.dailyinqilab.com/article/309837/,শেরপুরের সার্বিক বন্যা পরিস্থিতি কিছুটা উন্নতি হলেও জনদুর্ভোগ চরমে
"চলচ্চিত্রের 'স্বার্থবিরোধী কর্মকান্ড'র অভিযোগে গেল সপ্তাহে সংবাদ সম্মেলন করে চলচ্চিত্র শিল্পী সমিতির সভাপতি মিশা সওদাগর ও , জায়েদ খানকে বয়কট ঘোষণা দিয়েছে চলচ্চিত্রের ১৮টি সংগঠন।,মূলত মিশা-জায়েদের বিরুদ্ধে দূর্নীতি, স্বেচ্ছাচারিতা, ক্ষমতার অপব্যবহার করে সদস্যদের পদ কেড়ে নেওয়া সহ নানা অভিযোগ এনে তাদের দু'জনকে অনির্দিষ্টকালের জন্য বয়কট ঘোষণা করে।,এর প্রেক্ষিতে গেল ১৯ জুলাই সন্ধ্যায় বিএফডিসির জহির রায়হান অডিটোরিয়ামে চলচ্চিত্র শিল্পী সমিতি এক সংবাদ সম্মেলন করে বিবাদ ভুলে সমঝোতার আহ্বান জানান।,তবে শিল্পী সমিতির সভাপতির পদ থেকে মিশা সওদাগর এবং ,ের পদ থেকে জায়েদ পদত্যাগ করলেই তাদের সঙ্গে সমঝোতায় বসবে চলচ্চিত্রের ১৮ টি সংগঠন। গতকাল বুধবার (২২ জুলাই) বিএফডিসিতে চলচ্চিত্র সংশ্লিষ্ট ১৮টি সংগঠনের জরুরী এক বৈঠকে এমন সিদ্ধান্ত নেওয়া হয়েছে।,জরুরী বৈঠকে নেতারা বলেন, শিল্পী সমিতির সভাপতি মিশা ও সম্পাদক জায়েদ তাদের পদ থেকে পদত্যাগের আগে সমঝোতায় আসার কোনো সুযোগ নেই। এই সিদ্ধান্ত চলচ্চিত্রের উন্নয়নের স্বার্থেই নেওয়া হয়েছে বলেও নেতারা মন্তব্য করেন।,এ প্রসঙ্গে প্রযোজক সমিতির সভাপতি খোরশেদ আলম খসরু জানান, 'শিল্পী সমিতির নেতারা (মিশা ও জায়েদ) বলছে তাদের বিরুদ্ধে নির্দিষ্ট কোনো অভিযোগ নেই। কিন্তু আমাদের কাছে যথেষ্ট প্রমাণ রয়েছে। এমনকি আরও নতুন কিছু অভিযোগ এসেছে।',খসরু আরও বলেন, '২০১৯ সালের চলচ্চিত্র দিবসে যে ইভেন্ট ম্যানেজমেন্ট কাজ করেছিল, তারা সব খরচ বাবদ জায়েদ খানকে ৬ লাখ টাকা দিয়েছিল। উদযাপন কমিটির আহ্বায়ক বারবার চিঠি দিলেও সেই খরচের কোনো হিসাব দেয়নি জায়েদ খান। শুধু তাই নয়, এই হিসাবের বাইরেও ওই প্রতিষ্ঠানের কাছে থেকে আরও ২ লাখ টাকা ঘুষ নিয়েছেন তিনি।',খসরুর এই অভিযোগ অস্বীকার করে জায়েদ খান বলেন, 'তিনি এইসব মনগড়া কথা বলছেন। আমি যে ২ লাখ টাকা ঘুষ নিয়েছি তার প্রমান আছে কোন? কেউ বললেই সেটা বিশ্বাস করতে হবে তেমন তো না। আগে প্রমাণ দেখাক, তার পর এ বিষয়ে কথা বলব।',বুধবার (২২ জুলাই) চলচ্চিত্র পরিবারের আওতায় ১৮ সংগঠনের জরুরি বৈঠকে খোরশেদ আলম খসরু ছাড়াও উপস্থিত ছিলেন প্রযোজক সমিতির , শামসুল আলম, পরিচালক সমিতির সভাপতি মুশফিকুর রহমান গুলজার, পরিচালক সমিতির মহাসচিব বদিউল আলম খোকন, চিত্রপরিচালক দেলওয়ার জাহান ঝন্টু, সোহানুর রহমান সোহান প্রমুখ।",বিনোদন প্রতিদিন,https://www.dailyinqilab.com/article/309838/,মিশা-জায়েদের পদত্যাগের আগে সমঝোতা নয়
"যেসব বিদেশী নাগরিক ১৪ দিন বা তার বেশি সময়ের জন্য বাংলাদেশে অবস্থান করেছেন, বিদেশ ভ্রমণের জন্য তাদেরকেও কভিড-১৯ পরীক্ষা সংক্রান্ত সনদ দাখিল করতে হবে। এ সিদ্ধান্ত আগামী ২৬ জুলাই থেকে কার্যকর হবে।,বুধবার (২২ জুলাই) বেসামরিক বিমান চলাচল কর্তৃপক্ষ (বেবিচক) এ সংক্রান্ত বিজ্ঞপ্তি জারি করেছে।,বিজ্ঞিপ্তিতে বলা হয়েছে, বিদেশী নাগরিকদেরকেও দেশের ১৪টি জেলার সিভিল সার্জন নির্ধারিত স্থানে বিদেশ যাত্রার ৭২ ঘণ্টা বা তার কম সময় বাকি থাকতে উপস্থিত হয়ে কভিড-১৯ পরীক্ষার জন্য নমুনা দিতে হবে৷,তবে দেশী ও বিদেশী নাগরিক উভয়ের ক্ষেত্রেই ১০ বছরের কম বয়সী শিশুদের জন্য কভিড-১৯ পরীক্ষা বাধ্যতামূলক নয়৷ এছাড়া বিদেশী নাগরিকদের মধ্যে কূটনৈতিক মিশন এবং জাতিসংঘ ও তার অঙ্গ সংগঠনে কর্মরত ব্যক্তিদের ক্ষেত্রে , সদন দেয়ার বাধ্যবাধকতার নিয়ম প্রযোজ্য হবে না।,উল্লেখ্য, বাংলাদেশী পাসপোর্টধারীদের জন্য কভিড-১৯ পরীক্ষা সংক্রান্ত সনদ দাখিলের বাধ্যবাধকতা আজ ২৩ জুলাই থেকে কার্যকর হচ্ছে৷,বেবিচক বিজ্ঞপ্তিতে আরো বলেছে, দুবাই/আবুধাবি/শারজাহতে ভ্রমণ বা ট্রানজিট না করলে তাদের জন্য বিদেশ ভ্রমণের আগে কভিড-১৯ পরীক্ষা করে সনদ দাখিলের বাধ্যবাধকতা নেই বলেই আমরা জানিয়ে দিয়েছিলাম৷ কিন্তু নতুন নিয়মে আগামী ২৬ জুলাই বা তার পরে ভ্রমণ করতে হলে তাদেরকেও কভিড-১৯ পরীক্ষা করে বিমানবন্দরে আসতে হবে।",মহানগর,https://www.dailyinqilab.com/article/309839/,বাংলাদেশে অবস্থানরত বিদেশীদেরও বিমানবন্দরে করোনা সনদ লাগবে
"আর্মেনিয়ার সঙ্গে আজারবাইজানের উত্তেজনা দিন দিন বৃষ্টি পাচ্ছে। এর পরিপ্রেক্ষিতে মধ্য এশিয়ার দেশ আজারবাইজান সরকার যুদ্ধের প্রস্তুতি নিচ্ছে, দেশটির প্রেসিডেন্ট ইলহাম আলিয়েভের আহ্বানে সাড়া দিয়ে ৫০ হাজারের বেশি মানুষ রিজার্ভ ফোর্সে নাম লিখিয়েছে। প্রতিবেশী শত্রুভাবাপন্ন দেশ আর্মেনিয়ার বিরুদ্ধে যুদ্ধ করার জন্য অতিরিক্ত সৈন্য লাগবে বলে আলিয়েভে ঘোষণা দিয়েছিলেন।,আজারবাইজান থেকে আরান নিউজ জানিয়েছে, প্রেসিডেন্ট আলিয়েভের কয়েকদিন আগের ওই আহ্বানে সাড়া দিয়ে অন্তত ৫০ হাজার মানুষ দেশের রিজার্ভ ফোর্সে নিজেদের নাম অন্তর্ভুক্ত করেছে।,এর আগে গত কয়েকদিন ধরে আজারবাইজানের বিভিন্ন স্থানে সাধারণ মানুষ আর্মেনিয়ার বিরুদ্ধে বিক্ষোভ মিছিল করে। বিক্ষোভকারীরা নগরনোকারাবাখ নিয়ে সংঘাতে অংশগ্রহণের জন্য যত বেশি সম্ভব মানুষকে রিজার্ভ ফোর্সে শামিল হওয়ার আহ্বান জানান।,নগরনোকারাবাখের সীমান্ত অঞ্চল তোভুজে গত সপ্তাহের রোববার থেকে আর্মেনিয়া ও আজারবাইজানের সেনাবাহিনীর মধ্যে সংঘর্ষ শুরু হয়। এ সংঘর্ষ এখনো চলছে এবং এতে দু’পক্ষের বহু মানুষ হতাহত হয়েছে।,নগরনোকারাবাখের মালিকানা নিয়ে আর্মেনিয়া ও আজারবাইজানের মধ্যে ১৯৮৮ সালে প্রথম দ্বন্দ্ব শুরু হয় এবং ১৯৯১ সালে এ দ্বন্দ্ব সংঘর্ষে রূপ নেয়। ওই সংঘর্ষে নগরনোকারাবাখ অঞ্চল ও এর পার্শ্ববর্তী সাতটি শহর দখল করে নেয় আর্মেনিয়া। পার্সটুডে",আন্তর্জাতিক সংবাদ,https://www.dailyinqilab.com/article/309840/,৫০ হাজার আজারবাইজানি রিজার্ভ ফোর্সে নাম লেখাল
"ফেসবুকে প্রতারণার মাধ্যমে সারাদেশ থেকে গত দুই মাসে পাঁচ থেকে ছয় কোটি টাকা হাতিয়ে নেওয়ার অভিযোগে ১১ নাইজেরিয়ানসহ এক বাংলাদেশিকে কারাগারে পাঠানোর আদেশ দিয়েছেন আদালত। ঢাকা মহানগর হাকিম মঈনুল ইসলাম এ আদেশ দেন।,বৃহস্পতিবার পল্লবী থানার আদালতের সাধারণ নিবন্ধন কর্মকর্তা পুলিশের উপ-পরিদর্শক মোহাম্মদ সেলিম বিষয়টি নিশ্চিত করেছেন। তিনি বলেন, বুধবার বিকালে তাদের ১২ জনকে ঢাকা মহানগর হাকিম আদালতে হাজির করা হয়। মামলার তদন্ত শেষ না হওয়া পর্যন্ত তাদের কারাগারে আটক রাখার আবেদন করেন তদন্ত কর্মকর্তা। আবেদনের পরিপ্রেক্ষিতে বিচারক তাদের কারাগারে পাঠানোর আদেশ দেন।,কারাগারে যাওয়া আসামিরা হলেন- নন্দিকা ক্লিনেন্ট, ক্লেটাস আসুনা, ওইউকুলভ টিমটি, একিন উইসডোম, চিগোই, ইভুন্ডে গ্যাব্রিল ওবিনা, স্যালেস্টাইন প্যাট্রিক, ডুবুওকন সোমায়ইনা, ইয়েরেম প্রেসিওস, ওক উইসডম, মর্দি ন্যামডি এবং বাংলাদেশি রাহাত আরা খানম ওরফে ফারজানা মহিউদ্দিন।,এর আগে মঙ্গলবার রাজধানীর পল্লবী এলাকা থেকে বাংলাদেশি এক নারীসহ ১২ জনকে গ্রেফতার করে পুলিশের অপরাধ তদন্ত বিভাগ- সিআইডি। সংস্থাটি বলছে, চক্রটি সামাজিক যোগাযোগমাধ্যম ফেসবুকে প্রতারণার মাধ্যমে সারাদেশ থেকে গত দুই মাসে পাঁচ থেকে ছয় কোটি টাকা হাতিয়ে নিয়েছে। এরপর তাদের বিরুদ্ধে পল্লবী থানায় একটি মামলা করে সিআইডি।",মহানগর,https://www.dailyinqilab.com/article/309841/,১১ নাইজেরিয়ান কারাগারে
"গেল কয়েক সপ্তাহ ধরে বলিউডের বাতাসে কান পাতলেই শোনা যাচ্ছিলো, 'বাহুবলী' খ্যাত দক্ষিণী সুপারস্টার প্রভাসের সঙ্গে জুটি বাঁধতে যাচ্ছেন দীপিকা পাড়ুকোন। এ নিয়ে সিনেমাপাড়ায় রীতিমতো জল্পনা শুরু হয়েছিলো। অবশেষে সেই জল্পনা বাস্তব হয়েছে বটে। কিন্তু এই সিনেমাতে অভিনয়ের জন্য আকাশছোঁয়া দর হাকিয়েছেন নায়িকা। যা শুনলে অনেকেরই চোখ কপালে উঠতে বাধ্য!,প্রভাসের ২১ তম সিনেমার অংশ হতে যাচ্ছেন বলিউড ডিভা দীপিকা পাড়ুকোন। এর জন্য সিনেমাটির প্রযোজনা সংস্থা বিজয়ন্তি ফিল্মসের কাছ থেকে ২২ কোটা টাকা পারিশ্রমিক দাবি করেছেন নায়িকা। যদি তার পারিশ্রমিকের বিষয়টি সত্যি হয়, তাহলে নতুন রেকর্ড হতে যাচ্ছে। অন্যদিকে এতে অভিনয়ের জন্য ৫৬ কোটি টাকা পারিশ্রমিক নিবেন প্রভাস।,জানা গেছে, দীপিকা যে পারিশ্রমিক দাবি করেছেন, সেই পারিশ্রমিক বলিউডের একজন প্রতিষ্ঠিত নায়কও পান না। কিন্তু নায়িকার কথায়, বর্তমানে ইন্ডাস্ট্রিতে তিনি যে অবস্থানে রয়েছেন, সেখানে তাকে পেশাগত দিক থেকে মূল্যায়ন করা হবে, লিঙ্গভেদে নয়।,তবে শুরুর দিকে নাগ আশ্বিনের সিনেমাতে অভিনয় করতে রাজি ছিলেন না দীপিকা। কেননা চিত্রনাট্য পড়ে তার মনে হয়েছিল, সিনেমাতে তার চরিত্রটি গুরুত্বপূর্ণ নয়। এদিকে নির্মাতারা তাকে ছাড়া অন্যকাউকে নিতে চান না। সব মিলিয়ে চিত্রনাট্যে কিছুটা পরিবর্তন আনা হচ্ছে।,প্রসঙ্গত, দীপিকা পাড়ুকোন শকুন বাত্রার পরের সিনেমার জন্য প্রস্তুতি নিচ্ছেন। এছাড়া কবির খানের পরিচালনায় কপিল দেবের বায়োপিক '৮৩'তে তার স্ত্রী রোমির ভূমিকায় অভিনয় করেছেন। এতে কপিলের চরিত্রে দেখা যাবে ,কে। সিনেমাটি মুক্তি অপেক্ষা রয়েছে।",বিনোদন প্রতিদিন,https://www.dailyinqilab.com/article/309842/,দীপিকার পারিশ্রমিক শুনলে চমকে যাবেন
"ঈদুল আজহার আগে ফের অভ্যন্তরীণ রুটে ফ্লাইট শুরু করতে যাচ্ছে বিমান বাংলাদেশ এয়ারলাইনস।,আগামী ২৫ জুলাই ঢাকা থেকে চট্টগ্রাম, সিলেট ও সৈয়দপুরে নিয়মিত ফ্লাইট পরিচালনার সিদ্ধান্ত নিয়েছে রাষ্ট্রায়ত্ত বিমান সংস্থাটি।,বিমানের উপমহাব্যবস্থাপক (জনসংযোগ) তাহেরা খন্দকার বলেন, প্রতিদিন এই তিন রুটে আসা-যাওয়াসহ চট্টগ্রামে ছয়টি, সিলেটে ছয়টি ও সৈয়দপুরে চারটি অর্থাৎ ১৬টি ফ্লাইট পরিচালনা করবে বিমান। ,মহামারি শুরুর আগের ভাড়ায়ই যাত্রীরা ভ্রমণ করতে পারবেন বলে জানান তিনি। ,ভাইরাস মহামারির কারণে গত মার্চ থেকে বাংলাদেশে সাতটি অভ্যন্তরীণ গন্তব্যে ফ্লাইট চলাচল বন্ধ ছিল প্রায় আড়াই মাস। বিধিনিষেধ শিথিল হওয়ার পর ১ জুন ঢাকা থেকে সিলেট, চট্টগ্রাম ও সৈয়দপুরে উড়োজাহাজ চলাচল শুরু হয়। বেবিচকের অনুমতি পেয়েও যাত্রী সংকটের কথা বলে এত দিন অভ্যন্তরীণ ফ্লাইট বন্ধ রেখেছিল বিমান। ,তবে বেসরকারি বিমান সংস্থাগুলো এসব রুটে ফ্লাইট চালিয়ে আসছে।",সারা বাংলার খবর,https://www.dailyinqilab.com/article/309843/,ঈদের আগে অভ্যন্তরীণ রুটে ফ্লাইট চালু বিমানের
"কোম্পানীগঞ্জ উপজেলার চরএলাহী ইউনিয়নে এক কিশোরীকে (১৮) ধর্ষণের অভিযোগ উঠেছে। ঘটনায় নির্যাতিতা কিশোরীর বাবা বাদী হয়ে একটি মামলা দায়ের করেছেন। ঘটনার পর থেকে অভিযুক্ত প্রবাসী যুবক শিপন (২২) পলাতক রয়েছে।,বৃহস্পতিবার সকালে ওই কিশোরীকে ডাক্তারি পরীক্ষার জন্য হাসপাতালে প্রেরণ করা হয়েছে। অভিযুক্ত শিপন চরএলাহী ইউনিয়নের চরযাত্রা গ্রামের বেলাল হোসেনের ছেলে।,অভিযোগ সূত্রে জানা গেছে, নোয়াখালীর বেগমগঞ্জ উপজেলার বাসিন্দা ওই কিশোরী তার পালক পিতার সাথে কোম্পানীগঞ্জের চরএলাহীতে থাকতো। সে একজন মানসিক প্রতিবন্ধী। ঘটনার দিন গত ২০জুলাই সোমবার বিকাল ৪টার দিকে চরযাত্রা গ্রামের স্থানীয় একটি চা দোকান থেকে নিজ বাড়ীতে যাচ্ছিল ওই কিশোরী। কিছু পথ যাওয়ার পর প্রবাসী শিপন তার গতিরোধ করে এবং তাকে কৌশলে পাশ্ববর্তী একটি মাছের প্রজেক্টে নিয়ে যায়। প্রজেক্টের পিছনের একটি নির্জন স্থানে নিয়ে কিশোরীকে জোর পূর্বক ধর্ষণ করে শিপন। বিষয়টি জানাজানি হওয়ার পর ২২জুলাই বুধবার রাতে নির্যাতিতার বাবা বাদী হয়ে শিপনকে আসামী করে কোম্পানীগঞ্জ থানায় একটি মামলা দায়ের করেছেন।,কোম্পানীগঞ্জ থানার পুলিশ পরিদর্শক (তদন্ত) মো. রবিউল হক জানান, মানসিক প্রতিবন্দী ওই কিশোরীকে ধর্ষণের অভিযোগে শিপন নামের এক যুবকের বিরুদ্ধে একটি মামলা দায়ের করা হয়েছে। ওই কিশোরীকে ডাক্তারি পরীক্ষার জন্য হাসপাতালে পাঠানো হয়েছে। অভিযুক্ত যুবককে গ্রেপ্তারের চেষ্টা চলছে।",সারা বাংলার খবর,https://www.dailyinqilab.com/article/309844/,কোম্পানীগঞ্জে কিশোরীকে ধর্ষণের অভিযোগ
"আম মৌসুমে পরিবহন সুবিধার জন্য চালু হওয়া চাঁপাইনবাবগঞ্জ থেকে ঢাকাগামী আলোচিত বিশেষ ট্রেন সার্ভিস ‘ম্যাংগো স্পেশাল’ বন্ধ হয়ে গেছে।,গত ৫ জুন চাঁপাইনবাবগঞ্জ রেলওয়ে স্টেশনে আনুষ্ঠানিকভাবে চালু করা ট্রেনটি প্রায় দেড় মাস (৪৭ দিন) চলার পর বুধবার (২২ জুলাই) থেকে বন্ধ হয়ে গেছে। ,মূলত আমসহ বিভিন্ন কাঁচামাল ও রেলওয়ে পার্সেল হিসেবে গণ্য সকল পণ্য স্বল্প খরচে পরিবহনের জন্য রেলওয়ের এই বিশেষ আকর্ষণীয় উদ্যোগটি ,কালে সাড়া ফেললেও আমসহ অন্য পণ্য পরিবহন স্বল্পতার কারণে আপাতত বন্ধ করতে হয়েছে বলে জানিয়েছেন কর্মকর্তারা।,রেলওয়ের পাকশী বিভাগের কমার্শিয়াল ট্রাফিক ইন্সপেক্টর সাজেদুল ইসলাম বলেন, ট্রেনটি উদ্বোধনের পর থেকে কখনও আশানুরূপ পণ্য পরিবহন করতে পারেনি। হতাশা প্রকাশ করে তিনি বলেন, আম ছাড়া অন্য মালামালেও সাড়া পাওয়া যায়নি। এমন পরিস্থিতিতে বন্ধ করে দিতে হল ট্রেনটি। কোরবানি পশু পরিবহনে প্রস্তাবিত ‘ক্যাটেল ট্রেন’ এর ব্যাপারে তিনি বলেন, এ ব্যাপারে এখনও সিদ্ধান্ত হয়নি।,চাঁপাইনবাবগঞ্জ রেলওয়ে স্টেশন ম্যানেজার মনিরুল ইসলাম বলেন, ট্রেনটি চালু রাখার ব্যাপারে সরকারের ঊর্ধ্বতন মহল ও রেলওয়ে কর্তৃপক্ষের সকল পর্যায়ে চেষ্টার ঘাটতি ছিল না। কিন্তু আমের ভরা মৌসুমে চালু হবার পর ২২৫ টন ক্যাপাসিটির ট্রেনটি কখনও পূর্ণ পরিবহন সক্ষমতার পণ্য পায়নি। ,চাঁপাইনবাবগঞ্জ থেকে একদিন সর্বোচ্চ প্রায় ১০ টন বুকিং করা গেছে। গত কয়েক দিনসহ বেশিরভাগ দিনই ১ টন করেও বুকিং হয়নি। ঢাকা পর্যন্ত রাজশাহীসহ প্রায় সকল স্টেশনে ট্রেনে মালামাল পরিবহনের সুযোগ থাকলেও একমাত্র আড়ানী ব্যতিত কোনো স্টেশন থেকে কখনও উল্লেখযোগ্য পরিমাণ মালামাল পরিবহন করা যায়নি।,চাঁপাইনবাবগঞ্জ রেলওয়ে স্টেশন সহকারী ম্যানেজার ওবাইদুল্লাহ বলেন, আম মৌসুম এখনও শেষ হয়নি। তবে বড় ব্যবসায়ীরা ট্রেনটির ব্যাপারে প্রথম থেকে খোঁজ নিলেও পরিবহনে যথেষ্ট সাড়া দেননি। কিছু সংখ্যক সাধারণ মানুষ ও ছোট ব্যবসায়ী কিছু ক্ষেত্রে অনেকটা কুরিয়ার সার্ভিসের বিকল্প হিসেবে ট্রেনটি ব্যবহার করেছেন। তিনি বলেন, ন্যূনতম পণ্যও পরিবহন না হওয়ায় কর্তৃপক্ষ ট্রেনটি বন্ধ করে দিয়েছে।,স্থানীয় ব্যবসায়ীরা জানান, এই ট্রেনে আম পরিবহন করতে হলে জেলার যে কোনো বাজার, বাগান বা মোকাম থেকে আম প্রথমে কোনো ট্রাক বা ছোট পরিবহনে স্টেশনে আনতে হতো। সেটির বুকিং খরচ দেবার পর কুলি খরচ দিয়ে ট্রেনে তুলতে হতো। আবার গন্তব্য স্টেশনে আবারও কুলি খরচ দিয়ে আনলোডের পর আবারও ট্রাক বা অন্য কোনো পরিবহনে তুলে মোকামে নিতে হতো। এতে সময়, পরিশ্রম এমনকি খরচও বেড়ে যায়। এছাড়া সব মিলিয়ে অনেক ঝক্কি। তারা বরং বিভিন্ন আকৃতির ট্রাকে অপেক্ষাকৃত বেশি পরিবহন সুবিধের কথা জানান।",সারা বাংলার খবর,https://www.dailyinqilab.com/article/309845/,বন্ধ হয়ে গেল ‘ম্যাংগো স্পেশাল’ ট্রেন
